ATMID,Location,Date,WithdrawalAmount,R10,R20,R50,R100,R200,Deposits,ClosingBalance,Downtime,IsPayday,IsMonthEnd,IsPublicHoliday
ATM-TAXI-01,Taxi Rank,2026-08-01,5640,200,640,1200,2200,1400,160,144520,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-02,5940,240,1000,2200,900,1600,170,138750,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-03,5980,200,780,1800,2400,800,200,132970,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-04,5520,140,980,2100,1100,1200,140,127590,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-05,5440,240,700,1600,1900,1000,160,122310,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-06,5950,230,720,1700,1500,1800,220,116580,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-07,5550,320,680,2050,1900,600,160,111190,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-08,5790,190,500,1600,1900,1600,140,105540,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-09,7590,390,1000,2600,2600,1000,250,98200,FALSE,FALSE,FALSE,TRUE
ATM-TAXI-01,Taxi Rank,2026-08-10,6250,290,960,1700,2100,1200,150,142000,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-11,5600,210,840,1250,2300,1000,150,136550,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-12,5500,300,700,1500,1600,1400,170,131220,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-13,5580,260,920,1400,1600,1400,190,125830,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-14,5970,250,920,2100,1300,1400,230,120090,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-15,9790,380,1160,3550,2700,2000,320,110620,FALSE,TRUE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-16,8930,370,1060,2200,2500,2800,270,101960,FALSE,TRUE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-17,8500,320,780,2700,2900,1800,270,93730,FALSE,TRUE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-18,5510,380,480,2250,1200,1200,170,88390,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-19,6290,300,940,1850,2000,1200,160,82260,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-20,6060,290,720,2150,1900,1000,150,76350,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-21,5640,300,740,2000,1800,800,150,70860,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-22,5950,220,780,1650,1700,1600,200,65110,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-23,5770,320,900,1950,1800,800,150,59490,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-24,5810,160,800,1650,1600,1600,170,53850,FALSE,FALSE,FALSE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-25,7550,440,960,2250,1900,2000,160,46460,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-26,6980,260,1020,1800,2700,1200,270,39750,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-27,6990,400,1040,1950,1600,2000,170,32930,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-28,7100,250,1000,2250,2800,800,200,26030,FALSE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-29,7450,360,1040,2650,2000,1400,260,18840,TRUE,FALSE,TRUE,FALSE
ATM-TAXI-01,Taxi Rank,2026-08-30,6720,350,820,2150,2200,1200,230,12350,TRUE,FALSE,TRUE,FALSE
